track,album,lyrics
Strawberry Swing,"Nostalgia, Ultra", when we were kids we handpainted strawberries on a swing every moment was so precious then im still kicking it im daydreaming on a strawberry swing the entire earth is fighting all the world is at its end just in case an atom bomb comes falling on my lawn i should say and you should hear ive loved ive loved the good times here ive loved our good times here say hello then say farewell to the places you know we are all mortals arent we any moment this could go cry cry cry even though that wont change a thing but you should know you should hear that i have loved i have loved the good times here and i will miss our good times here spaceships are lifting off of a dying world and millions are left behind while the sky burns there wasnt room for you and i only you goodbye goodbye 
Novacane,"Nostalgia, Ultra", i think i started somethin i got what i wanted did didnt i cant feel nothin superhuman even when im fuckin viagra poppin every single record autotunin zero emotion muted emotion pitch corrected computed emotion i blame it on the model broad with the hollywood smile stripper booty and a rack like wow brain like berkeley met her at coachella i went to see jigga she went to see z trip perfect i took a seat on the ice cold lawn she handed me a ice blue bong whatever she said she wanna be a dentist really badly shes in school payin for tuition doin porn in the valley at least she workin but girl i cant feel my face what are we smokin anyway she said dont let the high go to waste but can you taste a little taste of novacane baby baby novacane baby i want you fuck me good fuck me long fuck me numb love me now when im gone love me none love me none love me none numb numb numb numb sink full of dishes pacin in the kitchen cocaine for breakfast yikes bed full of women flip on a tripod little red light on shootin im feelin like stanley kubrick this is some visionary shit been tryna film pleasure with my eyes wide shut but it keeps on movin i blame it on the model broad with the hollywood smile stripper booty with the rack like wow ill never forget ya you put me on a feelin i never had never had never had and ever since ive been tryna get it back pick it up and put it back now im somethin like the chemist on campus but theres no drug around quite like what i found in you i still cant feel my face what am i smokin anyway she said dont let the high go to waste but can you taste a little taste of novacane baby baby novacane baby i want you fuck me good fuck me long fuck me numb love me now when im gone love me none love me none love me none numb numb numb numb novacane novacane novacane novacane novacane numb the pain numb the pain numb the pain numb the pain numb the pain novacane novacane novacane novacane novacane for the pain for the pain novacane novacane novacane for the pain pretty girls involved with me makin pretty love to me pretty pity pity all the pretty girls involved with me makin pretty love to me pretty pity pity i cant feel a thing i cant feel cant feel a thing cant feel a thing cant feel feel feel feel her i cant feel feel her novacane novacane novacane i cant feel feel her novacane for the pain for the pain i cant cant feel her feel her feel her novacane novacane cane cane cane 
We All Try,"Nostalgia, Ultra", i believe jehovah jireh i believe theres heaven i believe in war i believe a womans temple gives her the right to choose but baby dont abort i believe that marriage isnt between a man woman but between love and love and i believe you when you say that youve lost all faith but you must believe in something something something you gotta believe in something something something i still believe in man a wise one asked me why cause i just dont believe were wicked i know that we sin but i do believe we try we all try the girls try the boys try women try men try you and i try try we all try i dont believe in time travel i dont believe our nations flag is on the moon i dont believe our lives are simple and i dont believe theyre short this is interlude i dont believe my hands are cleanly cant believe that you would let me touch your heart she didnt believe me when i said that i lost my faith you must believe in something something something you gotta believe in something something something i still believe in man a wise one asked me why cause i just dont believe were wicked i know that we sin but i do believe we try we all try the girls try the boys try women try men try you and i try try we all try try to believe i do believe i do believe 
Bitches Talkin' (Metal Gear Solid),"Nostalgia, Ultra", stop let me go you dont got no jodeci all you bitches want is jodeci what the fuck whats a radiohead anyway whatever 
Songs For Women,"Nostalgia, Ultra", when i was younger i used to wonder like if i was singing songs just to sing the songs or if was singing cause thats what the bitches wanted i couldnt play guitar like van halen had no secret chords like saint david but you still came around ate your lunch wit me used to park your car to try to bus with me but i would say girl dont be dumb im riding shotgun we could go to my house after school after school after school cause my dad dont clock off till late off till late off till late we could kick it in the living room looking through my whole vinyl collection and you could teach me how to slow dance or something and i can give you chills harmonizing to otis isley marvin and everytime somebody asked me if i sing songs to get at women i say yea they say no fair no fair thats cheating i say shit o well o well and everytime a nigga asks me if i sing songs to get at women i say yea they say no fair no no fair thats cheating i say boah dont judge cause hell if you were me youd be singing to her like la da da da da la da da da da la da da da da now im in the lab always working late always sleeping past the break fast she makes she used to stopby come and holla at me put her purse down and try to battle rap me she dont do that no more no more no more dont even listen to the songs i record but she be banging that drake in my car im so far gone she stay blasting trey and his songs all damn day long its like she never heard of me heard of me now everytime somebody asks me if i sing songs to get at women i say naw they say okay i dont believe it i say nope i swear i never do it and everytime a nigga asks me if i sing songs to get at women i say naw they say who do you think youre kidding i know you you stole my girlfriend now see i just dont play fair but its fair enough cause yo girl broke my heart in half now im singing la da ad da ah ah bout heartbreak oh and now imm singing la da da da da ah ah ah bout love lost ohhh 
Lovecrimes,"Nostalgia, Ultra", talk to me and i better not hear a word do me baby i better not feel it girl i still got one bullet left in my nine finna do a love crime love crime finna do a love crime murder murder murder she wrote love crimes love crimes murder murder murder she wrote love crimes love crimes you write me love letters with your fathers pen if he knew the freaky freaky things that you write with it is it really wrong that i want to be the baby daddy is that a love crime love crime tell me its a love crime murder murder murder she wrote love crimes love crimes murder murder murder she wrote love crimes love crimes murder murder murder she wrote love crimes love crimes in the getaway car you know i love it when the ride is smooth if we ever get caught itd be a long vacation for two 
There Will Be Tears,"Nostalgia, Ultra", there will be tears ive no doubt there may be smiles but a few and when those tears have run out you will be numb and blue i cant be there with you but i can dream i cant be there with you but i can dream i cant be there with you but i can dream i cant be there with you but i can dream i cant be there with you but i can dream i cant be there with you but i can dream i still dream dream dream i still dream my grandaddy was a player pretty boy in a pair of gators see i met him later on think it was 1991 the only dad id ever know but pretty soon hed be gone too hide my face hide my face cant let em see me crying cause these boys didnt have no fathers neither and they werent crying my friend said it wasnt so bad you cant miss what you aint had well i can im sad and there will be tears ive no doubt there may be smiles but a few and when those tears have run out you will be numb and blue i cant be there thats all you had to say to me was you couldnt be there why couldnt you say to me you wont be there you couldve warned me you wouldnt be here right here you wouldnt be here for me 
Swim Good,"Nostalgia, Ultra", thats a pretty big trunk on my lincoln town car aint it big enough to take these broken hearts and put em in it now im driving round on the boulevard trunk bleeding and every time the cops pull me over they dont ever see them they never see them and ive got this black suit on roaming around like im ready for a funeral 5 more miles till the road runs out im about to drive in the ocean imma try to swim from something bigger than me kick off my shoes and swim good and swim good take off this suit and swim good and swim good good got some pretty good beats on this 808 cd yeah memory seats im sitting on stay heated i wouldve put tints on my windows but whats the difference if i feel like a ghost no swayze ever since i lost my baby ive had this black suit on roaming around like im ready for a funeral one more mile till the road runs out im about to drive in the ocean imma try to swim from something bigger than me kick off my shoes and swim good and swim good take off this suit and swim good and swim good good im going off dont try stopping me im going off dont try saving me no flares no vest no fear waves are washing me out im about to drive in the ocean imma try to swim from something bigger than me kick off my shoes and swim good and swim good take off this suit and swim good and swim good good 
Dust,"Nostalgia, Ultra", whos that talking in the library whos that talking in my library is that you no i wont put you out cuz what would this place be without my muse nothing special every book in here i wrote some im not too proud of some i wish i could burn so many pages i wrote wish i could revise them but theres no erasing and the best advice i got was keep writing and keep living and keep loving and when the ink dries and the pages turn to dust so will we turn to dust so will we dust dust whos that laughing in my library whos that laughing in my library is that you no i wont put you out cause what would this place be without your smile nothing special i fell in love with you girl you let yourself inside with no respect for privacy you said theres too much on my mind then you ripped out a page and set that shit on flame i quit writing i kept living i kept loving and when the ink dries and them pages turn to dust so will we turn to dust so will we dust dust 
American Wedding,"Nostalgia, Ultra", i took a walk with the palm trees as the daylight fell sangria in a canteen talking to myself this tattoo on my left hand is turning purpleish blue daydreams of the romance daydreams of you my pretty woman in a ballgown im richard gere in a tux getting married in a courthouse writing vows in a rush making out before the judge with my teenage wife got a wedding band done that i just might die with its an american wedding they dont mean too much but we were so in love we had an american wedding now whats mine is yours thats american law mr s dot kennedy she signed her name in pen in a fancy fancy cursive then turned her term papers in a thesis on islamic virgin brides and arranged marriage hijabs and polygamist husbands those poor unamerican girls afterschool she ran to me jumped in my 50 this is the home of the brave land of the free but your parents still didnt know she said ive had a hell of a summer so baby dont take this hard but maybe we should get an annulment before this goes way to far its just an american wedding they dont mean too much they dont last enough we had an american wedding now whats mine is yours american divorce well you can have my mustang thats all ive got in my name but jesus christ dont break my heart this wedding ring wont ever wipe off but if you stay girl if you stay youll probably leave later anyway its love made in the usa dont let em front you to saying you cant move without em fuck em i tell em this aint new we been some hustlers since it began dude aint gon be trippin ova some bitch ass dude they so vain i tell em this aint you you keep it sensitive but this aint true these niggas cant do nothing that i cant do that she cant that he cant do that you cant do that we cant do man i had a dream and that shit became true and nigga if i did it i think you can too these niggas cant do nothing that i cant do that she cant that he cant do that you cant do that we cant do man i had a dream and that shit became true these niggas cant do nothing that i cant do that she cant that he cant do that you cant do 
